date,p,tail,morning,afternoon,prior_high,prior_low,tail_volume,vr
2020-02-17,19.19,-0.05208333333331927,2.11496746203903,1.9118428040361346,19.26,18.22,12348647.0,1.0021863731763825
2020-02-18,18.83,0.10632642211589882,-2.2916666666666585,0.3731343283581934,19.2,18.6,14043968.0,1.107419088052418
2020-02-19,18.48,-0.6451612903225823,0.32171581769437907,-1.2292891501870629,18.8,18.51,13117830.0,1.0365710203495562
2020-02-20,18.88,0.10604453870626251,-0.37654653039268515,1.943844492440605,18.89,18.23,26038112.0,2.0048558064019835
2020-02-21,19.52,0.411522633744843,3.856454204606319,0.6704486848891023,19.68,18.62,16709719.0,1.2225127407302776
2020-02-24,20.09,-0.29776674937964653,2.936708860759496,-1.180521396950307,20.6,19.55,20859445.0,1.4739260785842618
2020-02-25,20.0,1.0611419909045017,-0.9160305343511421,2.7221366204417174,20.29,18.97,16195493.0,1.1576084868338659
2020-02-26,18.78,-0.9493670886075889,-1.176470588235301,-2.795031055900621,19.58,18.92,26370790.0,1.838236525527825
2020-02-27,18.86,-0.05299417064124068,1.0729613733905463,0.10615711252652815,19.03,18.35,8516751.0,0.556832376259649
2020-02-28,17.02,-2.183908045977001,-5.254424778761058,-0.6421482778750653,18.44,17.1,22395698.0,1.5498210182057948
2020-03-02,17.43,-1.0783200908059065,0.1734104046242635,0.577034045008662,17.74,16.85,16702986.0,1.1514941490167248
2020-03-03,17.3,-1.0297482837528626,-0.39259674705550696,-2.5900900900900914,18.15,17.48,19209207.0,1.2565493264655183
2020-03-04,16.81,1.0216346153846034,-1.2188044109112117,-1.2338425381903662,17.33,16.42,13003611.0,0.8282611172683717
2020-03-05,17.13,0.2340550029256816,-1.40350877192984,1.6014234875444844,17.25,16.81,17684047.0,1.1124437810535035
2020-03-06,17.05,-0.6410256410256387,0.7130124777183555,0.5899705014749346,17.23,16.7,11208630.0,0.6869402359641301
2020-03-09,16.2,-0.8567931456548328,-1.3788968824940073,-1.5197568389057725,16.78,16.17,12344748.0,0.759698183750723
2020-03-10,16.52,0.48661800486617945,1.68961201501876,1.6615384615384698,16.6,15.79,9599576.0,0.5876155627649375
2020-03-11,16.59,-0.24052916416115178,1.0197960407918316,-1.4845605700712583,17.17,16.6,7601000.0,0.4807559165432396
2020-03-12,16.09,0.8145363408521344,-1.4769230769230646,0.49968769519048717,16.34,15.86,15821183.0,1.0162553269163106
2020-03-13,15.62,-0.44614404079031944,0.46113306982873414,2.426229508196709,15.99,15.05,12078253.0,0.7776747756944121
2020-03-16,14.35,-1.5099519560741292,-5.229591836734693,-3.432032301480481,15.74,14.43,25367823.0,1.6269262717314066
2020-03-17,13.87,0.3617945007235779,-2.2932592077831826,-1.3513513513513598,14.59,13.3,11953885.0,0.7359206192947942
2020-03-18,13.63,-1.0885341074020172,0.7117437722419906,-3.67491166077738,14.27,13.66,10869834.0,0.6735160077294671
2020-03-19,13.44,0.14903129657226621,-3.0258302583025865,2.2831050228310446,13.7,13.0,17333146.0,1.0815276713930424
2020-03-20,13.52,1.1976047904191711,-1.900584795321636,0.7451564828613977,13.77,13.29,13219071.0,0.8478496609445353
2020-03-23,12.53,-1.5710919088766762,-1.3740458015267132,-3.0185758513931904,13.18,12.63,18899986.0,1.2259377073930167
2020-03-24,13.01,2.927215189873422,-0.39215686274510775,2.4409448818897728,13.09,12.42,17875025.0,1.1668695624240037
2020-03-25,13.57,0.22156573116691725,0.746268656716409,0.5185185185185182,13.6,13.25,12403371.0,0.8052692495907796
2020-03-26,13.3,-0.22505626406601476,-0.22371364653243075,-0.5979073243647215,13.52,13.27,10657540.0,0.7247861949105946
2020-03-27,13.06,-1.0606060606060508,-1.3333333333333308,-1.9519519519519468,13.55,13.12,14433571.0,0.9744886230101601
2020-03-30,12.82,-0.6971340046475594,-1.0124610591900285,0.8654602675058909,12.93,12.43,8516995.0,0.590911202433784
2020-03-31,13.21,0.37993920972645423,-0.7524454477050413,0.15163002274451998,13.3,13.03,12413324.0,0.8864111504627338
2020-04-01,13.39,-0.22354694485841042,3.503427265803505,-1.471670345842524,13.73,13.12,12944494.0,0.9473269331707249
2020-04-02,13.94,0.7225433526011571,2.6986506746626615,1.751824817518255,13.84,13.33,23508334.0,1.720800864335131
2020-04-03,13.97,0.14336917562725038,1.5827338129496216,-1.0623229461756312,14.28,13.67,8675069.0,0.6217577896107995
2020-04-07,14.14,-0.35236081747709314,-1.6027874564459976,0.14164305949009304,14.4,14.02,14061200.0,1.0170253009526804
2020-04-08,14.11,-0.21216407355022504,-0.2135231316726105,0.6419400855920188,14.27,13.95,9312536.0,0.6694063400460363
2020-04-09,13.98,-0.14285714285714457,-1.6937191249117856,0.3589375448671994,14.22,13.93,7229087.0,0.5201799171953192
2020-04-10,13.6,0.22107590272659738,-1.506456241032994,-0.9468317552804084,13.94,13.5,7970140.0,0.5742719302825083
2020-04-13,13.14,0.381970970206269,-1.4880952380952328,-0.7552870090634434,13.44,13.04,5567701.0,0.41284632923199
2020-04-14,13.79,1.0997067448680342,1.5813253012048278,2.223869532987388,13.66,13.23,16262169.0,1.2356701704008082
2020-04-15,13.88,0.21660649819494893,0.5792903692976026,-0.07199424046075986,14.05,13.74,10470195.0,0.8240793451948124
2020-04-16,14.04,0.07127583749109156,0.290909090909075,1.8129079042784602,14.11,13.57,12829000.0,1.0156645092524272
2020-04-17,13.98,-1.1315417256011373,0.0,-1.6877637130801704,14.39,14.06,11054557.0,0.8684478083627247
2020-04-20,14.43,0.2083333333333215,1.7780938833570348,0.8385744234800763,14.41,13.91,16696314.0,1.344831875315101
2020-04-21,14.21,0.6373937677053965,-2.0979020979021046,1.5000000000000124,14.36,13.95,8272305.0,0.657104219877013
2020-04-22,14.06,0.35688793718773315,-1.066856330014232,1.078360891444996,14.1,13.89,6561468.0,0.5441748588023566
2020-04-23,13.94,-0.49964311206281975,-1.4035087719298178,-0.7829181494662052,14.26,13.94,5416862.0,0.47136067245572416
2020-04-24,13.94,0.071787508973431,0.42979942693408546,-0.5706134094151216,14.16,13.88,6443000.0,0.5782290584997246
2020-04-27,13.99,-0.6392045454545414,0.07142857142856673,-0.1427551748750866,14.14,13.72,5230800.0,0.47848885557440773
2020-04-28,14.26,0.5641748942172065,1.0706638115631772,0.7062146892655274,14.2,13.48,19968797.0,1.9069157074813707
2020-04-29,14.22,0.07037297677692234,0.4943502824858781,-0.07027406886858101,14.33,14.11,5242307.0,0.47465886593633483
2020-04-30,14.71,0.2043596730245234,2.7253668763102645,0.06802721088436936,14.75,14.27,12901663.0,1.2073633023886545
2020-05-06,14.76,0.20366598778003286,1.1088011088011163,1.165181631254275,14.79,14.39,10792344.0,1.010171481064868
2020-05-07,14.39,-0.41522491349480495,-1.423728813559333,-1.031636863823926,14.88,14.32,6353655.0,0.6323381369058935
2020-05-08,14.5,0.554785020804438,-0.4834254143646466,0.6245662734212232,14.6,14.34,8851076.0,0.8911850363554258
2020-05-11,14.52,1.1142061281337101,-0.34482758620689724,0.48442906574395206,14.69,14.35,7975382.0,0.8246443590389327
2020-05-12,14.21,-0.2106741573033699,-2.145328719723172,0.4950495049504955,14.45,14.09,4951241.0,0.515515785712924
2020-05-13,14.18,0.28288543140027045,0.5673758865248235,0.0,14.23,14.0,6905352.0,0.7276030233362268
2020-05-14,13.67,-0.5818181818181833,-1.2082444918265822,-1.6546762589928043,14.13,13.71,14210000.0,1.5057257739160272
2020-05-15,13.75,-0.7220216606498187,1.0189228529839944,-0.9365994236311348,13.92,13.58,4296923.0,0.4353772669628903
2020-05-18,13.45,-0.738007380073813,-0.14673514306677848,-1.1756061719324085,13.7,13.3,7141579.0,0.7703003098732375
2020-05-19,13.73,-0.1454545454545375,0.886262924667669,0.5124450951683679,13.78,13.54,5023027.0,0.5516941535204567
2020-05-20,13.82,-0.36049026676279183,0.7251631617114063,-0.5039596832253412,13.95,13.61,5713069.0,0.6555870315641663
2020-05-21,13.6,-1.3062409288824406,-0.5763688760806907,-1.449275362318847,13.96,13.73,8415255.0,0.9961996165854552
2020-05-22,13.28,-0.15037593984963404,-1.1045655375552355,-1.1169024571854091,13.74,13.23,6838157.0,0.8512258388289179
2020-05-25,13.13,0.535987748851463,-1.584905660377367,0.6901840490797673,13.27,13.01,4620376.0,0.5803327531796899
2020-05-26,13.49,-0.2218934911242587,0.834597875569032,1.5048908954100826,13.53,13.18,5208469.0,0.6622722813559453
2020-05-27,13.43,-0.6656804733727761,-0.5899705014749235,-0.37091988130564246,13.59,13.36,5554541.0,0.7072133420462088
2020-05-28,13.45,1.0518407212622094,-1.1851851851851891,0.8245877061469287,13.63,13.2,3470057.0,0.44432650565166026
2020-05-29,13.29,0.07530120481926694,-0.4477611940298498,-0.37481259370315545,13.45,13.24,6783369.0,0.8784854455260839
2020-06-01,13.87,-0.14398848092153083,3.1946508172362442,-0.14398848092153083,13.93,13.45,6482094.0,0.9178326420024173
2020-06-02,14.14,-0.7719298245614015,1.8705035971223083,-0.14124293785310327,14.28,13.85,8489690.0,1.1916388895768628
2020-06-03,14.21,-1.0445682451253435,1.4015416958654603,-1.7968210089841063,14.51,14.02,10240800.0,1.483360687419077
2020-06-04,14.15,-0.28188865398167673,0.070175438596487,-0.7713884992987308,14.38,14.13,5285700.0,0.768694292677927
2020-06-05,14.05,0.21398002853068032,-1.2005649717514166,0.42887776983560055,14.26,13.88,6068531.0,0.8894477366821931
2020-06-08,14.24,-0.2801120448179262,0.280701754385948,-0.3498950314905436,14.55,14.21,5583442.0,0.8353843240205105
2020-06-09,14.56,0.06872852233676952,1.2499999999999956,-0.137174211248281,14.65,14.22,6867285.0,1.0461909717298543
2020-06-10,14.29,0.07002801120448154,-2.1291208791208827,0.280701754385948,14.59,14.2,6057124.0,0.9094936732999236
2020-06-11,13.99,-0.4978662873399764,0.42105263157894424,-2.236198462613559,14.35,14.06,13074001.0,1.9756783645434275
2020-06-12,13.85,0.07225433526012459,0.5109489051094984,0.5809731299927456,13.88,13.62,7441500.0,1.1342583840598888
2020-06-15,13.71,-0.1456664238892902,1.3157894736842035,-1.0822510822510734,13.94,13.67,5469535.0,0.8141729280324711
2020-06-16,13.98,0.4310344827586299,0.6550218340611424,1.0845986984815648,13.94,13.74,8720565.0,1.3144662668385674
2020-06-17,14.26,0.2812939521800173,1.5032211882605617,0.5641748942172065,14.36,13.89,5903137.0,0.8656669469546037
2020-06-18,14.38,-0.41551246537395725,0.7719298245614015,0.1392757660167332,14.45,14.11,8515700.0,1.2470489544291816
2020-06-19,14.37,-0.06954102920724292,-0.8316008316008316,0.41928721174002703,14.5,14.27,7670273.0,1.122418148758909
2020-06-22,14.41,-0.20775623268697307,1.392757660167132,-1.0302197802197877,14.62,14.34,13284147.0,1.932152595691529
2020-06-23,14.13,0.4264392324093924,-1.4623955431754765,-0.1413427561837377,14.39,14.03,6678683.0,0.9138242905724268
2020-06-24,15.5,1.6393442622950838,9.46996466431096,0.06455777921239303,15.5,14.1,31704746.0,4.294867059693386
2020-06-29,15.16,0.33090668431503545,-2.2595222724338226,0.13210039630118242,15.49,15.06,15329314.0,1.76411537718092
2020-06-30,15.15,0.7313829787234161,-0.987491770901916,0.7313829787234161,15.25,14.92,13384296.0,1.4418876641374077
2020-07-01,15.23,0.9946949602122057,-0.19736842105262387,0.39551746868820015,15.45,15.02,11603163.0,1.2070875443938232
2020-07-02,15.59,-0.12812299807815064,-0.5867014341590648,2.2295081967213193,15.68,15.18,22260375.0,2.2556813027720217
2020-07-03,15.97,0.44025157232705503,2.811501597444077,-0.7458048477315016,16.25,15.56,14871795.0,1.4086986646073416
2020-07-06,16.5,0.06064281382656134,3.1462060456508123,-1.3157894736842035,16.81,16.2,13835768.0,1.2824355219611219
2020-07-07,16.48,-0.7826610475617057,0.5454545454545379,-0.6630500301386344,16.87,16.36,18261181.0,1.6281121477395712
2020-07-08,16.38,0.6142506142505999,-0.4294478527607337,0.9242144177449063,16.47,16.03,19021307.0,1.6084581666621074
2020-07-09,16.66,-0.17974835230677444,2.319902319902334,-0.5966587112171906,16.87,16.29,13026339.0,1.0422993408444385
2020-07-10,16.0,-1.5990159901599132,-2.4580335731414826,-1.659496004917027,16.68,16.16,26347858.0,2.057518614570324
2020-07-13,16.48,0.12150668286754485,2.3809523809523725,0.8567931456548328,16.57,15.9,15256376.0,1.1039198779417132
2020-07-14,16.62,1.7758726270667546,-0.0604960677555999,0.6053268765133346,16.84,16.25,10554707.0,0.7577340428141598
2020-07-15,16.23,-1.6959418534221782,-2.31729055258465,-1.2773722627737238,17.09,16.23,9585458.0,0.6805454746216679
2020-07-16,14.98,-2.790395846852689,-2.4798512089274527,-4.767959313413861,16.37,15.38,31363483.0,2.1946687451752913
2020-07-17,14.72,0.13605442176871652,-2.3872679045092826,0.0,15.16,14.54,8965095.0,0.5812844483976699
2020-07-20,15.3,1.0568031704095038,1.4784946236559016,1.324503311258285,15.25,14.74,8218233.0,0.527621424731089
2020-07-21,15.41,0.45632333767926525,-1.0389610389610393,1.1154855643044526,15.49,15.15,9896161.0,0.6359538860862343
2020-07-22,15.34,-0.13020833333332593,-0.06476683937823857,-0.5832793259883284,15.56,15.25,9563900.0,0.6102374366237565
2020-07-23,14.95,0.0,-2.373104812129201,0.9453072248480687,15.22,14.61,7659400.0,0.49458842044618484
2020-07-24,14.19,-0.28109627547435734,-1.943699731903481,-3.007518796992492,15.06,14.19,12891154.0,0.8297896660236265
