rule,n,original_cash,opposite_cash,opposite_mean,note
S2_vr_le_0p8,599,-8232.78359101164,-49260.392436985676,-0.3078470421541878,nominal same dates only; not account or adopted strategy
S2_vr_ge_1p2,403,-6055.533375409012,-33076.11882308904,-0.34647787273738984,nominal same dates only; not account or adopted strategy
S2_vr_ge_1p5,190,-595.3821211296217,-16390.46455286962,-0.4410324118014401,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_r3_ge_4,107,-1567.3053653526654,-11803.323465146635,-0.2029524402884058,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_r3_ge_6,81,-4295.048889487758,-6453.165284011687,-0.1556591161681808,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_r20_le_m10,33,-2802.9795565599143,-623.8589284399145,-0.1015816870767132,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_r20_le_0,146,-6645.173581976681,-6785.6533760226375,-0.22876969536447425,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_vr_ge_1p2,131,-10389.306034337678,-3490.415074661648,-0.19088371944154978,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_vr_ge_1p5,69,-4072.571537694873,-2571.9668788048302,-0.15521001768674358,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_relative_lt_0,76,-3921.2125545178196,-3241.4074359818196,-0.22588216228796734,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_market20_lt_0,146,-999.4364159756569,-13436.428709023612,-0.2804397897974133,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S1_gapdays_ge_3,67,-3079.2349161458337,-3458.6855418538344,-0.10255555850023204,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S2_r3_ge_2,152,-5959.5067865495475,-12076.324277949458,-0.2003132097437004,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S2_r3_ge_4,103,-3830.63863873065,-9668.530468268573,-0.15362246089786336,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S2_r3_ge_6,71,-829.0613220267467,-8846.303697972688,-0.1438485962732607,nominal same dates only; not account or adopted strategy
S1_clv_ge_0p8__AND__S2_vr_ge_1p5,53,-180.79231296585183,-5359.078190533852,-0.3876654117403587,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r3_le_m6,57,-5928.338899624829,-930.6079063748327,0.0625408887707698,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r3_le_m4,97,-10341.27140103574,-624.9390939637476,-0.11894645572284523,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r3_le_m2,171,-11216.925788071574,-6598.584767927583,-0.22040829312570295,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r3_ge_2,51,-165.58725722483587,-6444.063426274837,-0.35890284890368634,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r20_le_0,219,-511.11769005851374,-19966.695934440497,-0.37438168052018356,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r20_ge_0,156,-14270.11352366459,-2772.7414943345975,-0.15101288325955753,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_r20_ge_10,53,-766.3789752148061,-5825.129900784822,-0.22819535721823966,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_vr_le_0p8,138,-2751.955746492683,-10030.817027506677,-0.24697825602714052,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_vr_le_1,228,-6256.874815271479,-15914.831119227465,-0.34007455590606367,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_vr_ge_1p2,89,-626.144937260784,-7823.911379238782,-0.3150469305642667,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_relative_ge_0,65,-7110.126034256844,947.705812257139,-0.16819445076854772,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_relative_lt_0,310,-7671.105179466261,-23687.14324103223,-0.30520954362082436,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_market20_ge_0,166,-3255.4900859935638,-14192.597450505551,-0.2725973909055066,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S1_market20_lt_0,209,-11525.74112772954,-8546.839978269541,-0.28849966953156486,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_r3_le_m6,54,-8595.14605611585,2461.596525116158,-0.07926638227236789,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_r3_le_m4,96,-7126.923778402747,-3428.77257159674,-0.15511797601782637,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_r3_le_m2,169,-9315.344596318568,-8495.804095680562,-0.24701626944789068,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_r3_ge_2,55,-3921.8583407018414,-2623.017788297847,-0.13658622726187405,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_r3_ge_4,34,-3958.52903092789,-340.3329565719091,-0.06751839708167931,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_r3_ge_6,17,-3449.897356597943,1248.6936755980419,-0.020340816209816634,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_vr_ge_1p2,78,-5184.27248620885,-1845.0670552908591,-0.1026081715279372,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2__AND__S2_vr_ge_1p5,42,-2935.8703090549366,-436.8497819449366,0.0019798171190208067,nominal same dates only; not account or adopted strategy
S1_clv_le_0p3__AND__S1_r3_le_m4,128,-5982.328823583655,-8242.658822415666,-0.25848041596547283,nominal same dates only; not account or adopted strategy
S1_r20_le_m10__AND__S1_r3_le_m4,77,-2827.1206368418366,-5167.320421157838,-0.41510880069640965,nominal same dates only; not account or adopted strategy
S1_r20_le_0__AND__S1_r3_le_m4,160,-3145.6114888586344,-13183.432548140641,-0.4229145069898469,nominal same dates only; not account or adopted strategy
S1_r3_le_m4__AND__S1_vr_ge_1p2,60,-1333.6679103638571,-4132.613472135871,-0.34766908842445676,nominal same dates only; not account or adopted strategy
S1_r3_le_m4__AND__S1_vr_ge_1p5,28,-980.1637009899559,-1220.2188425099519,-0.10342429276610274,nominal same dates only; not account or adopted strategy
S1_r3_le_m4__AND__S1_relative_lt_0,182,-6181.034765668503,-14018.940864830516,-0.3607977135919016,nominal same dates only; not account or adopted strategy
S1_market20_lt_0__AND__S1_r3_le_m4,141,-2019.1596404466497,-12917.690685552652,-0.39060770059359157,nominal same dates only; not account or adopted strategy
S1_gapdays_ge_3__AND__S1_r3_le_m4,37,-516.9875149909109,-3675.368445008903,-0.6039431095560353,nominal same dates only; not account or adopted strategy
S1_r3_le_m4__AND__S2_clv_ge_0p8,59,-1151.5364980338557,-5831.242357465856,-0.1271021348297001,nominal same dates only; not account or adopted strategy
S1_r3_le_m4__AND__S2_vr_ge_1p2,50,-1424.8967650298675,-3604.7418614698745,-0.31262641004097014,nominal same dates only; not account or adopted strategy
S1_r3_le_m4__AND__S2_vr_ge_1p5,21,-3186.804909626957,1351.9059646270434,0.07675642885893959,nominal same dates only; not account or adopted strategy
S1_vr_ge_1p2__AND__S2_clv_le_0p2,107,-668.7813057947523,-9855.932867704734,-0.435956549168847,nominal same dates only; not account or adopted strategy
S1_market20_lt_0__AND__S2_clv_le_0p2,202,-2173.8557917855396,-16400.42241621354,-0.41386631359740994,nominal same dates only; not account or adopted strategy
S2_clv_le_0p2__AND__S2_r3_le_m6,66,-644.2560613397895,-6772.212013659815,-0.5015589965304518,nominal same dates only; not account or adopted strategy
S2_clv_le_0p2__AND__S2_r3_le_m4,109,-693.2849945636833,-11020.44142043571,-0.4645458721579023,nominal same dates only; not account or adopted strategy
S1_clv_le_0p3__AND__S2_r3_le_m4,133,-5677.092582342655,-8856.912666656666,-0.254802412793091,nominal same dates only; not account or adopted strategy
S1_r20_le_m10__AND__S2_r3_le_m4,63,-4062.8769809408604,-2384.5257500588455,-0.3089035656631285,nominal same dates only; not account or adopted strategy
S1_r20_le_0__AND__S2_r3_le_m4,148,-2514.8248964516492,-12313.560327047639,-0.40917256995008794,nominal same dates only; not account or adopted strategy
S1_vr_ge_1p2__AND__S2_r3_le_m4,64,-846.1326736618566,-5093.953927837856,-0.33860009556117276,nominal same dates only; not account or adopted strategy
S1_relative_lt_0__AND__S2_r3_le_m4,198,-1270.4829879774568,-20584.456289021495,-0.438613950122749,nominal same dates only; not account or adopted strategy
S1_market20_lt_0__AND__S2_r3_le_m4,135,-1982.7165625836667,-12090.842695415678,-0.34605850620538564,nominal same dates only; not account or adopted strategy
S2_r3_le_m4__AND__S2_vr_ge_1p2,56,-878.0781105508936,-4087.2735774488974,-0.3143809828044931,nominal same dates only; not account or adopted strategy
