scenario,original_event,increment_cash,start,end,method
S0_0_paid_open_5,0,-8419.451604129958,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,19,-11.42924899999889,2021-05-26,2021-06-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,20,0.848590770003284,2021-06-18,2021-07-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,21,5.07771540000067,2021-07-06,2021-07-15,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,22,-22.901094369999555,2021-07-16,2022-03-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,3,246.41747289999876,2020-03-11,2020-03-24,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,32,-14.35181442999965,2022-03-14,2022-04-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,33,-47.07602248999683,2022-04-28,2022-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,4,102.43757640000149,2020-03-25,2020-04-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,40,-5927.464511095008,2022-10-13,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,5,-342.6269029899977,2020-04-03,2020-04-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,6,0.22217082000315713,2020-04-15,2020-05-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,7,-9.680253859994991,2020-05-20,2021-05-25,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,0,-157.54321109999728,2020-01-02,2020-01-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,1,1949.079106900008,2020-01-10,2020-02-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,10,78.18437660000563,2020-08-13,2020-08-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,11,-334.9180913999917,2020-08-28,2020-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,12,91.65736630000538,2020-10-13,2020-10-20,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,13,-410.1056821999955,2020-10-21,2020-11-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,14,-19.11365979999755,2020-11-16,2020-12-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,15,-564.9512063999773,2020-12-02,2021-02-04,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,16,172.0104390000124,2021-02-05,2021-03-16,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,17,-57.64562520000072,2021-03-17,2021-03-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,18,-48.57923469999514,2021-03-31,2021-04-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,19,-336.06567499998346,2021-04-20,2021-06-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,2,426.7480562000019,2020-02-11,2020-03-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,20,-31.17064959999516,2021-06-18,2021-07-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,21,5.07771540000067,2021-07-06,2021-07-15,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,22,-107.33159489999707,2021-07-16,2021-07-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,23,-74.10729539999738,2021-08-02,2021-08-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,24,-102.7081749999943,2021-08-11,2021-09-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,25,-168.87763099999756,2021-09-02,2021-10-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,26,-425.1888611999839,2021-10-11,2021-11-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,27,-69.95964469999853,2021-12-01,2021-12-23,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,28,-34.433209999999235,2021-12-24,2021-12-31,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,29,-24.550379899998006,2022-01-04,2022-02-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,3,246.41747290000058,2020-03-11,2020-03-24,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,30,-26.23505959999966,2022-02-09,2022-02-18,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,31,18.361686500005817,2022-02-21,2022-03-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,32,-174.86527959999512,2022-03-14,2022-04-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,33,-69.13824309999836,2022-04-28,2022-05-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,34,61.0222104500026,2022-05-18,2022-05-25,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,35,-46.565989799995805,2022-05-26,2022-06-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,36,-148.61424014999648,2022-06-15,2022-07-18,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,37,-346.6375200499897,2022-07-19,2022-09-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,38,-19.05897994999941,2022-09-06,2022-09-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,39,-137.34302054999898,2022-09-28,2022-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,4,102.43757639999967,2020-03-25,2020-04-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,40,-104.05407524999646,2022-10-13,2022-11-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,41,-63.082454899997174,2022-11-02,2022-11-29,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,42,-135.53950009999608,2022-11-30,2023-01-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,43,-128.99391049999758,2023-01-06,2023-01-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,44,-49.195450100000016,2023-01-16,2023-02-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,45,20.73927524999999,2023-02-02,2023-02-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,46,30.27989030000208,2023-02-10,2023-02-20,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,47,40.08304035000219,2023-02-21,2023-03-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,48,-60.97344511499978,2023-03-03,2023-03-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,49,-478.42017167499944,2023-03-14,2023-10-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,5,-428.6742239000014,2020-04-03,2020-04-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,58,-72.3911201999963,2023-10-31,2023-11-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,59,-0.47847980499864207,2023-11-20,2023-11-28,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,6,-143.26990909999586,2020-04-15,2020-05-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,60,-37.72026249999908,2023-11-29,2024-01-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,63,-561.3473071849985,2024-01-12,2025-04-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,7,-184.08419569999387,2020-05-20,2020-06-16,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,8,-720.7323172999895,2020-06-17,2020-07-29,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,84,272.86339155000314,2025-04-10,2025-04-21,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,85,-5196.3025579550085,2025-04-22,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_paid_open_5,9,-29.13925489999383,2020-07-30,2020-08-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,0,-157.54321109999728,2020-01-02,2020-01-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,1,1949.079106900008,2020-01-10,2020-02-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,10,78.18437660000563,2020-08-13,2020-08-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,11,-334.9180913999917,2020-08-28,2020-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,12,91.65736630000538,2020-10-13,2020-10-20,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,13,-410.1056821999955,2020-10-21,2020-11-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,14,-19.11365979999755,2020-11-16,2020-12-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,15,-564.9512063999773,2020-12-02,2021-02-04,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,16,172.0104390000124,2021-02-05,2021-03-16,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,17,-57.64562520000072,2021-03-17,2021-03-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,18,-48.57923469999514,2021-03-31,2021-04-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,19,-336.06567499998346,2021-04-20,2021-06-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,2,426.7480562000019,2020-02-11,2020-03-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,20,-31.17064959999516,2021-06-18,2021-07-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,21,5.07771540000067,2021-07-06,2021-07-15,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,22,-107.33159489999707,2021-07-16,2021-07-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,23,-74.10729539999738,2021-08-02,2021-08-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,24,-102.7081749999943,2021-08-11,2021-09-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,25,-168.87763099999756,2021-09-02,2021-10-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,26,-425.1888611999839,2021-10-11,2021-11-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,27,-69.95964469999853,2021-12-01,2021-12-23,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,28,-34.433209999999235,2021-12-24,2021-12-31,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,29,-24.550379899998006,2022-01-04,2022-02-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,3,246.41747290000058,2020-03-11,2020-03-24,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,30,-26.23505959999966,2022-02-09,2022-02-18,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,31,18.361686500005817,2022-02-21,2022-03-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,32,-174.86527959999512,2022-03-14,2022-04-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,33,-69.13824309999836,2022-04-28,2022-05-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,34,61.0222104500026,2022-05-18,2022-05-25,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,35,-46.565989799995805,2022-05-26,2022-06-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,36,-148.61424014999648,2022-06-15,2022-07-18,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,37,-237.31239506499332,2022-07-19,2022-09-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,39,-5951.900846215005,2022-09-28,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,4,102.43757639999967,2020-03-25,2020-04-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,5,-428.6742239000014,2020-04-03,2020-04-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,6,-143.26990909999586,2020-04-15,2020-05-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,7,-184.08419569999387,2020-05-20,2020-06-16,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,8,-720.7323172999895,2020-06-17,2020-07-29,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_10_locked_open_5,9,-29.13925489999383,2020-07-30,2020-08-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,0,-157.54321109999728,2020-01-02,2020-01-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,1,1949.079106900008,2020-01-10,2020-02-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,10,78.18437660000563,2020-08-13,2020-08-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,100,2211.521015628081,2026-05-12,2026-07-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,101,385.3456797920371,2026-07-10,2026-08-04,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,102,252.20576889900258,2026-08-05,2026-08-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,103,408.1728740310209,2026-08-17,2026-08-26,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,104,547.594618203002,2026-08-27,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,11,-334.9180913999917,2020-08-28,2020-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,12,91.65736630000538,2020-10-13,2020-10-20,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,13,-410.1056821999955,2020-10-21,2020-11-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,14,-19.11365979999755,2020-11-16,2020-12-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,15,-564.9512063999864,2020-12-02,2021-02-04,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,16,172.0104390000197,2021-02-05,2021-03-16,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,17,-57.645625199998904,2021-03-17,2021-03-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,18,-48.57923470000242,2021-03-31,2021-04-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,19,-336.06567499998346,2021-04-20,2021-06-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,2,426.7480562000019,2020-02-11,2020-03-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,20,-31.170649599996977,2021-06-18,2021-07-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,21,5.077715399995213,2021-07-06,2021-07-15,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,22,-107.33159489999525,2021-07-16,2021-07-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,23,-74.10729539999738,2021-08-02,2021-08-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,24,-102.70817499999976,2021-08-11,2021-09-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,25,-168.87763099999574,2021-09-02,2021-10-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,26,-425.1888611999839,2021-10-11,2021-11-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,27,-69.95964469999853,2021-12-01,2021-12-23,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,28,-34.43321000000287,2021-12-24,2021-12-31,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,29,-24.550379899996187,2022-01-04,2022-02-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,3,246.41747290000058,2020-03-11,2020-03-24,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,30,-26.23505959999966,2022-02-09,2022-02-18,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,31,18.361686500005817,2022-02-21,2022-03-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,32,-174.86527959999512,2022-03-14,2022-04-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,33,-69.13824309999836,2022-04-28,2022-05-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,34,61.0222104500026,2022-05-18,2022-05-25,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,35,-46.565989799995805,2022-05-26,2022-06-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,36,-148.61424014999648,2022-06-15,2022-07-18,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,37,-346.6375200499897,2022-07-19,2022-09-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,38,-19.05897994999941,2022-09-06,2022-09-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,39,-137.34302054999898,2022-09-28,2022-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,4,102.43757639999967,2020-03-25,2020-04-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,40,-104.05407524999646,2022-10-13,2022-11-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,41,-63.082454899997174,2022-11-02,2022-11-29,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,42,-135.53950009999608,2022-11-30,2023-01-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,43,-128.99391049999758,2023-01-06,2023-01-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,44,-49.195450100000016,2023-01-16,2023-02-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,45,20.73927524999999,2023-02-02,2023-02-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,46,30.27989030000208,2023-02-10,2023-02-20,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,47,40.08304035000219,2023-02-21,2023-03-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,48,-163.02801564999936,2023-03-03,2023-03-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,49,29.420231650005007,2023-03-14,2023-04-20,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,5,-428.6742239000014,2020-04-03,2020-04-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,50,-97.97190524999678,2023-04-21,2023-05-25,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,51,-670.6147929000035,2023-05-26,2023-06-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,52,623.8251087000026,2023-06-12,2023-07-13,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,53,195.13713185000233,2023-07-14,2023-08-04,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,54,319.7466919000035,2023-08-07,2023-08-22,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,55,-1213.6877357999983,2023-08-23,2023-09-06,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,56,381.48106730000654,2023-09-07,2023-09-22,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,57,-239.41797849999784,2023-09-25,2023-10-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,58,-72.39112019999811,2023-10-31,2023-11-17,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,59,-104.53407035000055,2023-11-20,2023-11-28,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,6,-143.26990909999586,2020-04-15,2020-05-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,60,-162.78656314999898,2023-11-29,2023-12-08,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,61,-53.70310259999678,2023-12-11,2023-12-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,62,-32.1123624999982,2023-12-20,2024-01-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_30_paid_open_5,63,-344.2911535999938,2024-01-12,2024-02-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
